State,County,"MCO Name","Service Category","Number of Active Patients","Number of Eligible MCO Patients","Number of Providers","Percent Of Eligible Patients Receiving Services","Number of Services per Active Patient","Number of Active Patients per Provider","Calendar Year","Plan Category"
Arizona,Cochise,"United Healthcare","Behavioral Health",26,220,175,11.82%,22,1:07,2023,Comprehensive MCO
Arizona,Cochise,"Ltc Dd Des","Behavioral Health",346,502,157,68.92%,293,3:01,2023,Comprehensive MCO
Arizona,Cochise,"Health Choice Arizona","Behavioral Health",*,*,94,4.11%,6,*,2023,Comprehensive MCO
Arizona,Cochise,"Banner University Family Care","Behavioral Health","2,590","21,133",202,12.26%,40,13:01,2023,Comprehensive MCO
Arizona,Cochise,Dcs/Chp,"Behavioral Health",108,190,78,56.84%,54,2:01,2023,Comprehensive MCO
Arizona,Cochise,"Banner University Family Care","Behavioral Health","3,354","23,085",195,14.53%,42,18:01,2024,Comprehensive MCO
Arizona,Cochise,"Az Complete Health","Behavioral Health","4,019","45,831",214,8.77%,34,19:01,2024,Comprehensive MCO
Arizona,Cochise,Molina,"Behavioral Health",*,*,59,0.00%,,*,2024,Comprehensive MCO
Arizona,Cochise,"Mercy Care","Behavioral Health",99,672,143,14.73%,16,1:02,2024,Comprehensive MCO
Arizona,Cochise,"United Healthcare","Behavioral Health",44,271,156,16.24%,33,1:04,2024,Comprehensive MCO
Arizona,Cochise,"Health Choice Arizona","Behavioral Health",*,*,85,12.24%,29,*,2024,Comprehensive MCO
Arizona,Cochise,"Ltc Dd Des","Behavioral Health",408,590,146,69.15%,244,3:01,2024,Comprehensive MCO
Arizona,Cochise,Dcs/Chp,"Behavioral Health",177,312,70,56.73%,55,3:01,2024,Comprehensive MCO
Arizona,Cochise,Care1st,"Behavioral Health",*,*,55,8.04%,9,*,2024,Comprehensive MCO
Arizona,Coconino,"Ltc Dd Des","Behavioral Health",177,291,132,60.82%,196,2:01,2020,Comprehensive MCO
Arizona,Coconino,"United Healthcare","Behavioral Health",30,240,102,12.50%,16,1:04,2020,Comprehensive MCO
Arizona,Coconino,"Banner University Family Care","Behavioral Health",*,*,69,14.89%,21,*,2020,Comprehensive MCO
Arizona,Coconino,Dcs/Chp,"Behavioral Health",*,*,2,2.41%,3,*,2020,Comprehensive MCO
Arizona,Coconino,Care1st,"Behavioral Health",567,"5,397",115,10.51%,39,5:01,2020,Comprehensive MCO
Arizona,Coconino,"Health Choice Arizona","Behavioral Health","1,157","11,033",124,10.49%,41,10:01,2020,Comprehensive MCO
Arizona,Coconino,"Az Complete Health","Behavioral Health",*,*,94,30.43%,17,*,2020,Comprehensive MCO
Arizona,Coconino,Molina,"Behavioral Health",*,*,49,20.00%,4,*,2020,Comprehensive MCO
Arizona,Coconino,"Mercy Care","Behavioral Health",34,127,84,26.77%,19,1:03,2020,Comprehensive MCO
Arizona,Coconino,"Ltc Dd Des","Behavioral Health",227,386,142,58.81%,240,2:01,2021,Comprehensive MCO
Arizona,Coconino,Dcs/Chp,"Behavioral Health",19,61,62,31.15%,47,1:04,2021,Comprehensive MCO
Arizona,Coconino,"Health Choice Arizona","Behavioral Health","1,421","14,591",138,9.74%,38,11:01,2021,Comprehensive MCO
Arizona,Coconino,Cenpatico,"Behavioral Health",*,*,0,0.00%,,*,2021,Comprehensive MCO
Arizona,Coconino,"Banner University Family Care","Behavioral Health",*,*,73,2.70%,8,*,2021,Comprehensive MCO
Arizona,Coconino,Molina,"Behavioral Health",*,*,49,9.09%,8,*,2021,Comprehensive MCO
Arizona,Coconino,Care1st,"Behavioral Health",751,"6,532",120,11.50%,35,7:01,2021,Comprehensive MCO
Arizona,Coconino,"Az Complete Health","Behavioral Health",*,*,103,20.31%,8,*,2021,Comprehensive MCO
Arizona,Coconino,"United Healthcare","Behavioral Health",41,297,105,13.80%,18,1:03,2021,Comprehensive MCO
Arizona,Coconino,"Mercy Care","Behavioral Health",118,183,94,64.48%,6,2:01,2021,Comprehensive MCO
Arizona,Coconino,"Ltc Dd Des","Behavioral Health",265,443,164,59.82%,237,2:01,2022,Comprehensive MCO
Arizona,Coconino,"Health Choice Arizona","Behavioral Health","1,695","18,484",139,9.17%,31,13:01,2022,Comprehensive MCO
Arizona,Coconino,Dcs/Chp,"Behavioral Health",41,90,68,45.56%,38,1:02,2022,Comprehensive MCO
Arizona,Coconino,Care1st,"Behavioral Health","1,256","15,744",125,7.98%,24,11:01,2022,Comprehensive MCO
Arizona,Coconino,"Banner University Family Care","Behavioral Health",*,*,85,15.58%,30,*,2022,Comprehensive MCO
Arizona,Coconino,"Az Complete Health","Behavioral Health",31,132,115,23.48%,18,1:04,2022,Comprehensive MCO
Arizona,Coconino,"Children's Rehabilitative Services (Crs)","Behavioral Health",*,*,0,0.00%,,*,2022,Comprehensive MCO
Arizona,Coconino,"United Healthcare","Behavioral Health",55,318,114,17.30%,8,1:03,2022,Comprehensive MCO
Arizona,Coconino,Molina,"Behavioral Health",*,*,46,21.05%,4,*,2022,Comprehensive MCO
Arizona,Coconino,"Mercy Care","Behavioral Health",151,287,102,52.61%,10,2:01,2022,Comprehensive MCO
Arizona,Coconino,Molina,"Behavioral Health",*,*,41,17.39%,15,*,2023,Comprehensive MCO
Arizona,Coconino,"Health Choice Arizona","Behavioral Health","1,442","13,095",126,11.01%,31,12:01,2023,Comprehensive MCO
Arizona,Coconino,Care1st,"Behavioral Health","2,004","21,442",111,9.35%,34,19:01,2023,Comprehensive MCO
Arizona,Coconino,"Banner University Family Care","Behavioral Health",*,*,95,11.63%,22,*,2023,Comprehensive MCO
Arizona,Coconino,"Az Complete Health","Behavioral Health",*,*,120,31.40%,15,*,2023,Comprehensive MCO
Arizona,Coconino,Dcs/Chp,"Behavioral Health",79,138,54,57.25%,48,2:01,2023,Comprehensive MCO
Arizona,Coconino,"United Healthcare","Behavioral Health",62,379,126,16.36%,10,1:03,2023,Comprehensive MCO
Arizona,Coconino,"Mercy Care","Behavioral Health",172,426,99,40.38%,10,2:01,2023,Comprehensive MCO
Arizona,Coconino,"Ltc Dd Des","Behavioral Health",288,497,148,57.95%,204,2:01,2023,Comprehensive MCO
Arizona,Coconino,"Health Choice Arizona","Behavioral Health","1,776","14,515",118,12.24%,36,16:01,2024,Comprehensive MCO
Arizona,Coconino,Dcs/Chp,"Behavioral Health",127,201,44,63.18%,66,3:01,2024,Comprehensive MCO
Arizona,Coconino,Care1st,"Behavioral Health","2,362","38,823",103,6.08%,34,23:01,2024,Comprehensive MCO
Arizona,Coconino,"Az Complete Health","Behavioral Health","1,419","34,705",146,4.09%,15,10:01,2024,Comprehensive MCO
Arizona,Coconino,"Banner University Family Care","Behavioral Health",*,*,92,12.60%,11,*,2024,Comprehensive MCO
Arizona,Coconino,"United Healthcare","Behavioral Health",64,435,104,14.71%,15,1:02,2024,Comprehensive MCO
Arizona,Coconino,"Mercy Care","Behavioral Health",234,"1,246",93,18.78%,12,3:01,2024,Comprehensive MCO
Arizona,Coconino,Molina,"Behavioral Health",*,*,34,8.00%,5,*,2024,Comprehensive MCO
Arizona,Coconino,"Ltc Dd Des","Behavioral Health",358,571,147,62.70%,199,3:01,2024,Comprehensive MCO
Arizona,Gila,Molina,"Behavioral Health",*,*,59,13.95%,15,*,2020,Comprehensive MCO
Arizona,Gila,"United Healthcare","Behavioral Health",58,341,86,17.01%,28,1:02,2020,Comprehensive MCO
Arizona,Gila,"Mercy Care","Behavioral Health",79,266,80,29.70%,31,1:02,2020,Comprehensive MCO
Arizona,Gila,"Ltc Dd Des","Behavioral Health",70,105,72,66.67%,304,1:02,2020,Comprehensive MCO
Arizona,Gila,"Health Choice Arizona","Behavioral Health",488,"3,109",81,15.70%,44,7:01,2020,Comprehensive MCO
Arizona,Gila,Dcs/Chp,"Behavioral Health",*,*,3,0.00%,,*,2020,Comprehensive MCO
Arizona,Gila,Care1st,"Behavioral Health",*,*,71,11.27%,98,*,2020,Comprehensive MCO
Arizona,Gila,"Banner University Family Care","Behavioral Health",251,"2,579",76,9.73%,39,4:01,2020,Comprehensive MCO
Arizona,Gila,"Az Complete Health","Behavioral Health",55,375,81,14.67%,23,1:02,2020,Comprehensive MCO
Arizona,Gila,"United Healthcare","Behavioral Health",68,559,81,12.16%,30,1:02,2021,Comprehensive MCO
Arizona,Gila,Molina,"Behavioral Health",*,*,62,12.50%,23,*,2021,Comprehensive MCO
Arizona,Gila,"Mercy Care","Behavioral Health",143,448,81,31.92%,23,2:01,2021,Comprehensive MCO
Arizona,Gila,"Ltc Dd Des","Behavioral Health",89,135,62,65.93%,279,2:01,2021,Comprehensive MCO
Arizona,Gila,"Health Choice Arizona","Behavioral Health",645,"3,640",78,17.72%,44,9:01,2021,Comprehensive MCO
Arizona,Gila,"Az Complete Health","Behavioral Health",92,638,75,14.42%,13,2:01,2021,Comprehensive MCO
Arizona,Gila,Dcs/Chp,"Behavioral Health",34,53,26,64.15%,34,2:01,2021,Comprehensive MCO
Arizona,Gila,Care1st,"Behavioral Health",16,111,73,14.41%,59,1:05,2021,Comprehensive MCO
Arizona,Gila,"Banner University Family Care","Behavioral Health",319,"2,935",76,10.87%,30,5:01,2021,Comprehensive MCO
Arizona,Gila,"United Healthcare","Behavioral Health",102,871,79,11.71%,29,2:01,2022,Comprehensive MCO
Arizona,Gila,"Phoenix Hp","Behavioral Health",*,*,0,0.00%,,*,2022,Comprehensive MCO
Arizona,Gila,Molina,"Behavioral Health",51,395,55,12.91%,24,1:02,2022,Comprehensive MCO
Arizona,Gila,"Mercy Care","Behavioral Health",361,"1,189",80,30.36%,26,5:01,2022,Comprehensive MCO
Arizona,Gila,"Ltc Dd Des","Behavioral Health",103,157,62,65.61%,249,2:01,2022,Comprehensive MCO
Arizona,Gila,"Health Choice Arizona","Behavioral Health",707,"4,344",73,16.28%,40,10:01,2022,Comprehensive MCO
Arizona,Gila,Dcs/Chp,"Behavioral Health",*,*,26,53.97%,27,*,2022,Comprehensive MCO
Arizona,Gila,Care1st,"Behavioral Health",*,*,59,13.33%,5,*,2022,Comprehensive MCO
Arizona,Gila,"Banner University Family Care","Behavioral Health",358,"3,475",79,10.30%,31,5:01,2022,Comprehensive MCO
Arizona,Gila,"Az Complete Health","Behavioral Health",119,907,77,13.12%,17,2:01,2022,Comprehensive MCO
Arizona,Gila,"United Healthcare","Behavioral Health",148,"1,251",79,11.83%,32,2:01,2023,Comprehensive MCO
Arizona,Gila,"Ltc Dd Des","Behavioral Health",112,177,57,63.28%,266,2:01,2023,Comprehensive MCO
Arizona,Gila,"Mercy Care","Behavioral Health",646,"1,936",79,33.37%,56,9:01,2023,Comprehensive MCO
Arizona,Gila,Molina,"Behavioral Health",54,501,55,10.78%,26,1:02,2023,Comprehensive MCO
Arizona,Gila,"Health Choice Arizona","Behavioral Health",509,"4,424",75,11.51%,35,7:01,2023,Comprehensive MCO
Arizona,Gila,Dcs/Chp,"Behavioral Health",70,109,22,64.22%,31,4:01,2023,Comprehensive MCO
Arizona,Gila,Care1st,"Behavioral Health",29,73,62,39.73%,29,1:03,2023,Comprehensive MCO
Arizona,Gila,"Banner University Family Care","Behavioral Health",474,"4,304",77,11.01%,28,7:01,2023,Comprehensive MCO
Arizona,Gila,"Az Complete Health","Behavioral Health",174,"1,315",75,13.23%,20,3:01,2023,Comprehensive MCO
Arizona,Gila,Molina,"Behavioral Health",63,514,51,12.26%,31,2:01,2024,Comprehensive MCO
Arizona,Gila,"Mercy Care","Behavioral Health",817,"14,327",84,5.70%,47,10:01,2024,Comprehensive MCO
Arizona,Gila,"Ltc Dd Des","Behavioral Health",138,205,52,67.32%,263,3:01,2024,Comprehensive MCO
Arizona,Gila,"United Healthcare","Behavioral Health",218,"1,529",75,14.26%,43,3:01,2024,Comprehensive MCO
Arizona,Gila,"Health Choice Arizona","Behavioral Health",613,"4,549",72,13.48%,33,9:01,2024,Comprehensive MCO
Arizona,Gila,Dcs/Chp,"Behavioral Health",111,162,27,68.52%,35,5:01,2024,Comprehensive MCO
Arizona,Gila,"Banner University Family Care","Behavioral Health",484,"4,327",74,11.19%,28,7:01,2024,Comprehensive MCO
Arizona,Gila,Care1st,"Behavioral Health",32,163,54,19.63%,33,1:02,2024,Comprehensive MCO
Arizona,Gila,"Az Complete Health","Behavioral Health",242,"1,679",80,14.41%,36,4:01,2024,Comprehensive MCO
Arizona,Graham,"United Healthcare","Behavioral Health",*,*,60,10.00%,46,*,2020,Comprehensive MCO
Arizona,Graham,Molina,"Behavioral Health",*,*,17,40.00%,18,*,2020,Comprehensive MCO
Arizona,Graham,"Mercy Care","Behavioral Health",26,47,45,55.32%,14,1:02,2020,Comprehensive MCO
Arizona,Graham,"Ltc Dd Des","Behavioral Health",66,111,60,59.46%,223,2:01,2020,Comprehensive MCO
Arizona,Graham,"Health Choice Arizona","Behavioral Health",*,*,31,46.00%,13,*,2020,Comprehensive MCO
Arizona,Graham,Dcs/Chp,"Behavioral Health",*,*,1,5.56%,3,*,2020,Comprehensive MCO
Arizona,Graham,Care1st,"Behavioral Health",*,*,24,22.22%,9,*,2020,Comprehensive MCO
Arizona,Graham,"Az Complete Health","Behavioral Health",350,"4,292",67,8.15%,46,6:01,2020,Comprehensive MCO
Arizona,Graham,"Banner University Family Care","Behavioral Health",285,"2,720",59,10.48%,46,5:01,2020,Comprehensive MCO
Arizona,Graham,"United Healthcare","Behavioral Health",*,*,71,10.00%,10,*,2021,Comprehensive MCO
Arizona,Graham,Molina,"Behavioral Health",*,*,23,0.00%,,*,2021,Comprehensive MCO
Arizona,Graham,"Mercy Care","Behavioral Health",*,*,49,45.45%,8,*,2021,Comprehensive MCO
Arizona,Graham,"Ltc Dd Des","Behavioral Health",104,156,54,66.67%,227,2:01,2021,Comprehensive MCO
Arizona,Graham,"Health Choice Arizona","Behavioral Health",*,*,43,59.04%,3,*,2021,Comprehensive MCO
Arizona,Graham,Dcs/Chp,"Behavioral Health",*,*,27,38.46%,25,*,2021,Comprehensive MCO
Arizona,Graham,"Children's Rehabilitative Services (Crs)","Behavioral Health",*,*,0,0.00%,,*,2021,Comprehensive MCO
Arizona,Graham,Care1st,"Behavioral Health",*,*,24,11.11%,3,*,2021,Comprehensive MCO
Arizona,Graham,"Az Complete Health","Behavioral Health",473,"5,501",77,8.60%,36,7:01,2021,Comprehensive MCO
Arizona,Graham,"Banner University Family Care","Behavioral Health",306,"3,124",75,9.80%,52,5:01,2021,Comprehensive MCO
Arizona,Graham,"United Healthcare","Behavioral Health",*,*,78,10.91%,9,*,2022,Comprehensive MCO
Arizona,Graham,Molina,"Behavioral Health",*,*,19,0.00%,,*,2022,Comprehensive MCO
Arizona,Graham,"Mercy Care","Behavioral Health",51,124,58,41.13%,4,1:02,2022,Comprehensive MCO
Arizona,Graham,"Ltc Dd Des","Behavioral Health",116,170,67,68.24%,246,2:01,2022,Comprehensive MCO
Arizona,Graham,"Health Choice Arizona","Behavioral Health",*,*,40,15.71%,2,*,2022,Comprehensive MCO
Arizona,Graham,Dcs/Chp,"Behavioral Health",*,*,32,37.04%,22,*,2022,Comprehensive MCO
Arizona,Graham,Care1st,"Behavioral Health",*,*,27,11.11%,1,*,2022,Comprehensive MCO
Arizona,Graham,"Banner University Family Care","Behavioral Health",394,"4,063",85,9.70%,47,5:01,2022,Comprehensive MCO
Arizona,Graham,"Az Complete Health","Behavioral Health",575,"7,199",89,7.99%,36,7:01,2022,Comprehensive MCO
Arizona,Graham,"United Healthcare","Behavioral Health",*,*,79,5.00%,1,*,2023,Comprehensive MCO
Arizona,Graham,Molina,"Behavioral Health",*,*,20,25.00%,14,*,2023,Comprehensive MCO
Arizona,Graham,"Mercy Care","Behavioral Health",115,291,55,39.52%,10,3:01,2023,Comprehensive MCO
Arizona,Graham,"Health Choice Arizona","Behavioral Health",*,*,44,14.00%,29,*,2023,Comprehensive MCO
Arizona,Graham,Dcs/Chp,"Behavioral Health",*,*,36,53.57%,44,*,2023,Comprehensive MCO
Arizona,Graham,Care1st,"Behavioral Health",*,*,25,20.00%,12,*,2023,Comprehensive MCO
Arizona,Graham,"Banner University Family Care","Behavioral Health",510,"5,122",99,9.96%,52,6:01,2023,Comprehensive MCO
Arizona,Graham,"Ltc Dd Des","Behavioral Health",127,193,60,65.80%,236,3:01,2023,Comprehensive MCO
Arizona,Graham,"Az Complete Health","Behavioral Health",724,"9,989",99,7.25%,36,8:01,2023,Comprehensive MCO
Arizona,Graham,"United Healthcare","Behavioral Health",*,*,75,13.79%,13,*,2024,Comprehensive MCO
Arizona,Graham,Molina,"Behavioral Health",*,*,31,0.00%,,*,2024,Comprehensive MCO
Arizona,Graham,"Mercy Care","Behavioral Health",127,806,63,15.76%,10,3:01,2024,Comprehensive MCO
Arizona,Graham,"Ltc Dd Des","Behavioral Health",142,219,64,64.84%,182,3:01,2024,Comprehensive MCO
Arizona,Graham,Dcs/Chp,"Behavioral Health",*,*,32,45.24%,51,*,2024,Comprehensive MCO
Arizona,Graham,Care1st,"Behavioral Health",*,*,20,3.33%,16,*,2024,Comprehensive MCO
Arizona,Graham,"Banner University Family Care","Behavioral Health",652,"5,764",96,11.31%,54,7:01,2024,Comprehensive MCO
Arizona,Graham,"Health Choice Arizona","Behavioral Health",*,*,39,14.93%,26,*,2024,Comprehensive MCO
Arizona,Graham,"Az Complete Health","Behavioral Health",993,"19,256",96,5.16%,36,11:01,2024,Comprehensive MCO
Arizona,Greenlee,Dcs/Chp,"Behavioral Health",*,*,1,0.00%,,*,2020,Comprehensive MCO
Arizona,Greenlee,"Banner University Family Care","Behavioral Health",*,*,9,6.41%,27,*,2020,Comprehensive MCO
Arizona,Greenlee,Care1st,"Behavioral Health",0,0,3,,,0,2020,Comprehensive MCO
Arizona,Greenlee,"Az Complete Health","Behavioral Health",43,445,12,9.66%,22,4:01,2020,Comprehensive MCO
Arizona,Greenlee,"United Healthcare","Behavioral Health",*,*,13,0.00%,,*,2020,Comprehensive MCO
Arizona,Greenlee,Molina,"Behavioral Health",*,*,3,50.00%,105,*,2020,Comprehensive MCO
Arizona,Greenlee,"Mercy Care","Behavioral Health",*,*,8,50.00%,5,*,2020,Comprehensive MCO
Arizona,Greenlee,"Ltc Dd Des","Behavioral Health",*,*,8,74.07%,156,*,2020,Comprehensive MCO
Arizona,Greenlee,"Health Choice Arizona","Behavioral Health",*,*,5,66.67%,2,*,2020,Comprehensive MCO
